# app	/Users/jacob/githubApps/Scale/src-tauri/target/release/bundle/macos/Sovatela.app
# version	1.6.0
phase	time	source	remote
update-check	09:08:10	rust	185.199.108.153:443
update-check	09:08:10	rust	51.159.86.116:443
update-check	09:08:10	rust	185.199.108.153:443
update-check	09:08:11	rust	51.159.86.116:443
update-check	09:08:11	rust	185.199.108.153:443
update-check	09:08:11	rust	51.159.86.116:443
update-check	09:08:11	rust	185.199.108.153:443
update-check	09:08:12	rust	51.159.86.116:443
update-check	09:08:12	rust	185.199.108.153:443
update-check	09:08:12	rust	51.159.86.116:443
update-check	09:08:12	rust	185.199.108.153:443
update-check	09:08:12	rust	51.159.86.116:443
update-check	09:08:12	rust	185.199.108.153:443
update-check	09:08:13	rust	51.159.86.116:443
update-check	09:08:13	rust	185.199.108.153:443
update-check	09:08:13	rust	51.159.86.116:443
update-check	09:08:13	rust	185.199.108.153:443
update-check	09:08:14	rust	51.159.86.116:443
update-check	09:08:14	rust	185.199.108.153:443
update-check	09:08:14	rust	51.159.86.116:443
update-check	09:08:14	rust	185.199.108.153:443
update-check	09:08:15	rust	51.159.86.116:443
update-check	09:08:15	rust	185.199.108.153:443
update-check	09:08:15	rust	51.159.86.116:443
update-check	09:08:15	rust	185.199.108.153:443
update-check	09:08:16	rust	51.159.86.116:443
update-check	09:08:16	rust	185.199.108.153:443
update-check	09:08:16	rust	51.159.86.116:443
update-check	09:08:16	rust	185.199.108.153:443
update-check	09:08:16	rust	51.159.86.116:443
update-check	09:08:16	rust	185.199.108.153:443
update-check	09:08:17	rust	51.159.86.116:443
update-check	09:08:17	rust	185.199.108.153:443
update-check	09:08:17	rust	51.159.86.116:443
update-check	09:08:17	rust	185.199.108.153:443
update-check	09:08:18	rust	51.159.86.116:443
update-check	09:08:18	rust	185.199.108.153:443
update-check	09:08:18	rust	51.159.86.116:443
update-check	09:08:18	rust	185.199.108.153:443
update-check	09:08:19	rust	51.159.86.116:443
update-check	09:08:19	rust	185.199.108.153:443
update-check	09:08:19	rust	51.159.86.116:443
update-check	09:08:19	rust	185.199.108.153:443
update-check	09:08:20	rust	51.159.86.116:443
update-check	09:08:20	rust	185.199.108.153:443
update-check	09:08:20	rust	51.159.86.116:443
update-check	09:08:20	rust	185.199.108.153:443
update-check	09:08:20	rust	51.159.86.116:443
update-check	09:08:20	rust	185.199.108.153:443
update-check	09:08:21	rust	51.159.86.116:443
update-check	09:08:21	rust	185.199.108.153:443
update-check	09:08:21	rust	51.159.86.116:443
update-check	09:08:21	rust	185.199.108.153:443
update-check	09:08:22	rust	51.159.86.116:443
update-check	09:08:22	rust	185.199.108.153:443
update-check	09:08:22	rust	51.159.86.116:443
update-check	09:08:22	rust	185.199.108.153:443
update-check	09:08:23	rust	51.159.86.116:443
update-check	09:08:23	rust	185.199.108.153:443
update-check	09:08:23	rust	51.159.86.116:443
update-check	09:08:23	rust	185.199.108.153:443
update-check	09:08:23	rust	51.159.86.116:443
update-check	09:08:23	rust	185.199.108.153:443
update-check	09:08:24	rust	51.159.86.116:443
update-check	09:08:24	rust	185.199.108.153:443
update-check	09:08:24	rust	51.159.86.116:443
update-check	09:08:24	rust	185.199.108.153:443
update-check	09:08:25	rust	51.159.86.116:443
update-check	09:08:25	rust	185.199.108.153:443
update-check	09:08:25	rust	51.159.86.116:443
update-check	09:08:25	rust	185.199.108.153:443
update-check	09:08:26	rust	51.159.86.116:443
update-check	09:08:26	rust	185.199.108.153:443
update-check	09:08:26	rust	51.159.86.116:443
update-check	09:08:26	rust	185.199.108.153:443
update-check	09:08:27	rust	51.159.86.116:443
update-check	09:08:27	rust	185.199.108.153:443
update-check	09:08:27	rust	51.159.86.116:443
update-check	09:08:27	rust	185.199.108.153:443
update-check	09:08:27	rust	51.159.86.116:443
update-check	09:08:27	rust	185.199.108.153:443
update-check	09:08:28	rust	51.159.86.116:443
update-check	09:08:28	rust	185.199.108.153:443
update-check	09:08:28	rust	51.159.86.116:443
update-check	09:08:28	rust	185.199.108.153:443
update-check	09:08:29	rust	51.159.86.116:443
update-check	09:08:29	rust	185.199.108.153:443
update-check	09:08:29	rust	51.159.86.116:443
update-check	09:08:29	rust	185.199.108.153:443
update-check	09:08:30	rust	51.159.86.116:443
update-check	09:08:30	rust	185.199.108.153:443
update-check	09:08:30	rust	51.159.86.116:443
update-check	09:08:30	rust	185.199.108.153:443
update-check	09:08:30	rust	51.159.86.116:443
update-check	09:08:30	rust	185.199.108.153:443
update-check	09:08:31	rust	51.159.86.116:443
update-check	09:08:31	rust	185.199.108.153:443
update-check	09:08:31	rust	51.159.86.116:443
update-check	09:08:31	rust	185.199.108.153:443
update-check	09:08:32	rust	51.159.86.116:443
update-check	09:08:32	rust	185.199.108.153:443
update-check	09:08:32	rust	51.159.86.116:443
update-check	09:08:32	rust	185.199.108.153:443
update-check	09:08:33	rust	51.159.86.116:443
update-check	09:08:33	rust	185.199.108.153:443
update-check	09:08:33	rust	51.159.86.116:443
update-check	09:08:33	rust	185.199.108.153:443
update-check	09:08:34	rust	51.159.86.116:443
update-check	09:08:34	rust	185.199.108.153:443
update-check	09:08:34	rust	51.159.86.116:443
update-check	09:08:34	rust	185.199.108.153:443
update-check	09:08:34	rust	51.159.86.116:443
update-check	09:08:34	rust	185.199.108.153:443
update-check	09:08:35	rust	51.159.86.116:443
update-check	09:08:35	rust	185.199.108.153:443
update-check	09:08:35	rust	51.159.86.116:443
update-check	09:08:35	rust	185.199.108.153:443
update-check	09:08:36	rust	51.159.86.116:443
update-check	09:08:36	rust	185.199.108.153:443
update-check	09:08:36	rust	51.159.86.116:443
update-check	09:08:36	rust	185.199.108.153:443
pricing	09:08:59	rust	51.159.86.116:443
pricing	09:08:59	rust	185.199.108.153:443
pricing	09:09:00	rust	51.159.86.116:443
pricing	09:09:00	rust	185.199.108.153:443
pricing	09:09:00	rust	51.159.86.116:443
pricing	09:09:00	rust	185.199.108.153:443
pricing	09:09:01	rust	51.159.86.116:443
pricing	09:09:01	rust	185.199.108.153:443
pricing	09:09:01	rust	51.159.86.116:443
pricing	09:09:01	rust	185.199.108.153:443
pricing	09:09:01	rust	185.199.109.133:443
pricing	09:09:01	rust	51.159.86.116:443
pricing	09:09:01	rust	185.199.108.153:443
pricing	09:09:01	rust	185.199.109.133:443
pricing	09:09:02	rust	51.159.86.116:443
pricing	09:09:02	rust	185.199.108.153:443
pricing	09:09:02	rust	185.199.109.133:443
pricing	09:09:02	rust	51.159.86.116:443
pricing	09:09:02	rust	185.199.108.153:443
pricing	09:09:02	rust	185.199.109.133:443
pricing	09:09:03	rust	51.159.86.116:443
pricing	09:09:03	rust	185.199.108.153:443
pricing	09:09:03	rust	185.199.109.133:443
pricing	09:09:03	rust	51.159.86.116:443
pricing	09:09:03	rust	185.199.108.153:443
pricing	09:09:03	rust	185.199.109.133:443
pricing	09:09:04	rust	51.159.86.116:443
pricing	09:09:04	rust	185.199.108.153:443
pricing	09:09:04	rust	185.199.109.133:443
pricing	09:09:04	rust	51.159.86.116:443
pricing	09:09:04	rust	185.199.108.153:443
pricing	09:09:04	rust	185.199.109.133:443
pricing	09:09:05	rust	51.159.86.116:443
pricing	09:09:05	rust	185.199.108.153:443
pricing	09:09:05	rust	185.199.109.133:443
pricing	09:09:05	rust	51.159.86.116:443
pricing	09:09:05	rust	185.199.108.153:443
pricing	09:09:05	rust	185.199.109.133:443
pricing	09:09:05	rust	51.159.86.116:443
pricing	09:09:05	rust	185.199.108.153:443
